idx	T	rep	seed	E	C	M2	A
27	1.1100000000	1	16318592	-1.1857360790	1.4746697289	0.2638587290	0.3665596354
27	1.1100000000	2	16423321	-1.1854494363	1.4366355023	0.2643095098	0.3666906901
27	1.1100000000	3	16528050	-1.1823008604	1.4846064487	0.2594864853	0.3676534505
27	1.1100000000	4	16632779	-1.1846083642	1.5163802597	0.2638924758	0.3671319661
27	1.1100000000	5	16737508	-1.1810710315	1.4479102360	0.2556773719	0.3679685547
27	1.1100000000	6	16842237	-1.1823096431	1.4770267204	0.2586756644	0.3674729167
27	1.1100000000	7	16946966	-1.1881522636	1.4604257369	0.2716570015	0.3662759766
27	1.1100000000	8	17051695	-1.1875097771	1.4409415079	0.2707875745	0.3662147786
28	1.1200000000	1	16326511	-1.1698164014	1.5088622986	0.2480009644	0.3715904297
28	1.1200000000	2	16431240	-1.1719972516	1.4493251943	0.2520460999	0.3712214193
28	1.1200000000	3	16535969	-1.1713130123	1.5013937269	0.2518609071	0.3712078776
28	1.1200000000	4	16640698	-1.1718683466	1.4376981132	0.2510523753	0.3713072266
28	1.1200000000	5	16745427	-1.1653137953	1.4627828971	0.2375106467	0.3727894531
28	1.1200000000	6	16850156	-1.1714288405	1.4964016657	0.2516215759	0.3713177734
28	1.1200000000	7	16954885	-1.1715485191	1.4619232877	0.2508550637	0.3713199870
28	1.1200000000	8	17059614	-1.1690310768	1.4260658211	0.2466451850	0.3719044922
29	1.1300000000	1	16334430	-1.1539678881	1.4391178812	0.2325738015	0.3765649740
29	1.1300000000	2	16439159	-1.1567055644	1.4839060942	0.2386866783	0.3759407552
29	1.1300000000	3	16543888	-1.1545582396	1.4232342526	0.2318203379	0.3765809896
29	1.1300000000	4	16648617	-1.1552954828	1.4814681916	0.2354397203	0.3761520833
29	1.1300000000	5	16753346	-1.1497008789	1.4675173309	0.2246584376	0.3774021484
29	1.1300000000	6	16858075	-1.1525571329	1.4939654043	0.2282156781	0.3769425781
29	1.1300000000	7	16962804	-1.1573310049	1.4648497115	0.2372540173	0.3760906901
29	1.1300000000	8	17067533	-1.1570975211	1.4811883649	0.2391833230	0.3759173177
30	1.1400000000	1	16342349	-1.1394425311	1.4503836829	0.2179388344	0.3813596354
30	1.1400000000	2	16447078	-1.1415783277	1.4378306987	0.2222910633	0.3807078125
30	1.1400000000	3	16551807	-1.1370925936	1.4649978426	0.2139095637	0.3823479818
30	1.1400000000	4	16656536	-1.1410047579	1.4485992404	0.2190432903	0.3809341146
30	1.1400000000	5	16761265	-1.1403215225	1.4443665082	0.2194382514	0.3810026042
30	1.1400000000	6	16865994	-1.1374321156	1.4836242413	0.2118468934	0.3818339844
30	1.1400000000	7	16970723	-1.1405019999	1.4468420564	0.2174801231	0.3809604818
30	1.1400000000	8	17075452	-1.1404910697	1.3994287294	0.2202091957	0.3811454427
